Czy pracujesz już z danymi,Jakie są twoje oczekiwania na pierwszym stanowisku? (netto),Na jakim stanowisku pracujesz?,Jaką masz umowę?,W jakim wymiarze?,Ile zarabiasz netto?,Ile masz lat doświadczenia komercyjnego?,"Z jakimi narzędziami pracujesz? (wymień po przecinku np. excel, sql, power bi)"
Tak,,Analityk danych,UoP,Pełen etat,8k,2 lata,"SAP, power bi, excel"
Nie,4k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,10k,4 lata,"Power bi, sql, tableau, power automate"
Tak,,Automatyzator,Własna firma,2 etaty..,17k i więcej,6 lat i więcej,"python,ai,langchain,n8n,php,laravel,js,typescript i to najgorze.. ludzie!"
Nie,8k,,,,,,
Tak,,Analityk handlowy w energetyce,UoP,Pełen etat,7k,2 lata,"excel, power bi, python"
Tak,,Analityk danych,UoP,Pełen etat,7k,rok i mniej,"Excel, SQL, Power Bi"
Nie,5k,,,,,,
Nie,7k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,5k,2 lata,"Excel, SQL"
Nie,8k,,,,,,
Tak,,Ekspert ds. Optymalizacji,Zlecenie,1/2 etatu,15k,4 lata,"Python, Julia, JavaScript, Excel, SQL, LaTeX"
Nie,8k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,5k,2 lata,"Excel, power bi"
Tak,,Power BI developer,UoP,Pełen etat,6k,rok i mniej,"Power bi, sql, excel"
Tak,,BI Analityk ,UoP,Pełen etat,7k,5 lat,"Tableau, excel "
Nie,8k,,,,,,
Nie,5k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,9k,6 lat i więcej,Excel
Tak,,Power BI developer,B2B,Pełen etat,17k i więcej,5 lat,"Sql, power bi, power query, databricks, fabric"
Tak,,Analityk danych,B2B,Pełen etat,13k,6 lat i więcej,"excel, t-sql, sql, power bi desktop, power bi service, ssis, ssas, ssrs, dax studio, tabular"
Tak,,Analityk danych,B2B,Pełen etat,15k,5 lat,"Power BI, Fabric, SSMS, Azure, SSRS"
Nie,8k,,,,,,
Tak,,"Analityk w dzile controllingu (dużo Excela, trochę SQL i PBI)",UoP,Pełen etat,6k,4 lata,"Excel, DAX, SQL, PBI"
Nie,3k i mniej,,,,,,
Tak,,Power BI developer,UoP,Pełen etat,11k,4 lata,"Power BI, SQL, Excel, Power Automate, Power Apps"
Nie,5k,,,,,,
Nie,6k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,5k,2 lata,"Power Query, Power BI, Looker Studio, Flourish, Google Sheets, MS Lists, Sharepoint, SQL"
Nie,5k,,,,,,
Tak,,Analityk danych,UoP,Pełen etat,10k,2 lata,"Power bi, redshift, sql, excel"
Nie,4k,,,,,,
Nie,4k,,,,,,
Tak,,Analityk Biznesowy,UoP,Pełen etat,7k,2 lata,"excel, power bi"
Tak,,Inżynier danych,praktyki,0,3k i mniej,rok i mniej,"sql, c#"
Nie,4k,,,,,,
Tak,,Power BI developer,UoP,Pełen etat,7k,rok i mniej,"power bi, sql"
Nie,4k,,,,,,
Tak,,Analityk danych,B2B,5/4 etatu,13k,5 lat,"SQL, postgres, Power BI, Excel, Python"
Tak,,Analityk danych,UoP,1/2 etatu,6k,3 lata,"Power Bi, Excel, SQL"
